,PCODE,타율,홈런,인플레이타구비율,뜬공땅볼비율,배럴지수,장타율
3,50165,0.2605,23.0,0.3074935400516796,2.239520958083837,0.18280098280098275,0.5070000000000001
11,50350,0.254,2.0,0.297029702970297,1.8974358974358954,0.06874999999999999,0.336
14,50458,0.2495,1.0,0.2909604519774011,1.1014084507042257,0.0,0.29300000000000004
15,50468,0.28,6.0,0.3690476190476191,1.6250000000000009,0.11927710843373492,0.477
16,50469,0.209,8.0,0.2598425196850393,1.62962962962963,0.08608695652173912,0.3670000000000001
17,50506,0.2785,8.0,0.3097643097643097,1.6443433029908994,0.040492957746478875,0.406
23,50730,0.265,9.0,0.3455497382198953,2.4333333333333313,0.07988826815642457,0.428
27,50854,0.2605,2.5,0.306368330464716,2.0453333333333403,0.007991360691144709,0.34850000000000003
29,50923,0.27899999999999997,24.5,0.3481152993348116,2.1638115631691694,0.1616525423728813,0.5369999999999999
31,51004,0.271,7.0,0.3253012048192771,1.5151515151515145,0.12580645161290324,0.404
38,51463,0.312,20.0,0.3151750972762646,1.784313725490195,0.09512195121951222,0.546
42,51725,0.257,7.0,0.3114754098360656,1.5121951219512189,0.05229885057471264,0.394
43,51817,0.255,13.0,0.3072289156626506,1.5757575757575748,0.1666666666666667,0.454
50,60523,0.28975,7.25,0.35168961201501875,1.883848797250861,0.0577716643741403,0.42425
51,60558,0.2575,6.75,0.3151041666666667,1.5455830388692595,0.04697193500738552,0.38925
56,61102,0.27,14.0,0.3068181818181818,1.9024784482758672,0.09089068825910919,0.43200000000000005
59,61186,0.28,2.25,0.339606501283148,1.0837398373983729,0.023913043478260877,0.35875
62,61208,0.2535,1.25,0.3224299065420561,0.9579684763572673,0.013597246127366607,0.315
63,61353,0.285,3.0,0.3728070175438597,1.241420118343196,0.03296853625171,0.36975
65,61404,0.2875,5.5,0.3205574912891986,1.4548148148148137,0.015400843881856544,0.38299999999999995
70,61700,0.22025,2.25,0.3367088607594937,1.2171507607192247,0.02074303405572756,0.28474999999999995
75,62025,0.26275000000000004,4.25,0.3111111111111111,1.1109057301293899,0.05072463768115944,0.39
77,62234,0.2895,0.5,0.3191881918819188,0.9934258582907218,0.013043478260869565,0.35175
78,62244,0.26775,2.75,0.3270588235294118,1.590639810426541,0.0396301188903567,0.36175
79,62265,0.23775,4.0,0.3068893528183716,1.606846473029044,0.08419811320754722,0.39025
82,62356,0.2503333333333333,2.333333333333333,0.3685446009389672,1.2539229671897276,0.03314447592067989,0.3263333333333333
83,62404,0.29675,15.25,0.3501180173092053,1.798168955472335,0.06611018363939897,0.48125
85,62415,0.28250000000000003,7.25,0.32665330661322645,1.6736283185840826,0.02038980509745128,0.39475
88,62556,0.24175,3.5,0.3216601815823606,1.4857363145720928,0.020443740095087162,0.31425
89,62558,0.197,3.0,0.26287262872628725,1.5708245243128967,0.04473684210526317,0.2933333333333333
91,62700,0.27125,3.75,0.35348226018396844,0.9927140255009107,0.03737704918032787,0.37175
94,62864,0.22275,2.5,0.2839721254355401,2.035467980295571,0.01252336448598131,0.29575
97,62895,0.26475,20.25,0.3056768558951965,1.7717842323651478,0.09464285714285707,0.495
98,62907,0.3185,3.75,0.36699321778447613,1.4908595877090682,0.012900575184880855,0.4215
102,62925,0.26325,4.5,0.3194675540765391,2.0123456790123484,0.04822429906542058,0.3765
103,62931,0.28625,12.5,0.3419226957383548,1.738029719317558,0.08296529968454253,0.4585
104,62934,0.237,10.0,0.27533783783783783,2.4473684210526363,0.05370705244122968,0.398
105,62947,0.3245,19.5,0.3840864440078585,1.4837696335078534,0.10633299284984671,0.56925
124,63704,0.24925,3.0,0.32815533980582523,1.215608465608466,0.005482456140350877,0.32475
125,63722,0.2295,4.0,0.29718004338394793,1.3869731800766283,0.04149184149184149,0.34450000000000003
131,63963,0.2655,8.5,0.3054024255788313,2.082563154651888,0.04622425629290618,0.4115
132,64004,0.268,1.6666666666666667,0.3166144200626959,1.0456375838926182,0.014313725490196078,0.32899999999999996
