,PCODE,배럴지수,뜬공땅볼비율,장타율
3,50165,0.18280098280098275,2.239520958083837,0.5070000000000001
11,50350,0.06874999999999999,1.8974358974358956,0.336
14,50458,0.0,1.1014084507042257,0.29300000000000004
15,50468,0.11927710843373493,1.6250000000000009,0.47700000000000004
16,50469,0.08608695652173913,1.6296296296296298,0.3670000000000001
17,50506,0.04049295774647888,1.6443433029908994,0.406
23,50730,0.07988826815642458,2.433333333333332,0.428
27,50854,0.007991360691144709,2.0453333333333403,0.34850000000000003
29,50923,0.1616525423728813,2.163811563169169,0.5369999999999999
31,51004,0.12580645161290324,1.5151515151515145,0.40399999999999997
38,51463,0.09512195121951222,1.784313725490195,0.546
42,51725,0.05229885057471264,1.5121951219512189,0.39399999999999996
43,51817,0.1666666666666667,1.5757575757575748,0.45399999999999996
50,60523,0.0577716643741403,1.8838487972508609,0.42425
51,60558,0.04697193500738552,1.5455830388692595,0.38925
56,61102,0.0908906882591092,1.9024784482758672,0.4320000000000001
59,61186,0.02391304347826088,1.0837398373983729,0.35875
62,61208,0.013597246127366607,0.9579684763572672,0.315
63,61353,0.03296853625171,1.241420118343196,0.36975
65,61404,0.015400843881856544,1.4548148148148137,0.383
70,61700,0.02074303405572756,1.217150760719225,0.28474999999999995
75,62025,0.05072463768115944,1.11090573012939,0.39
77,62234,0.013043478260869565,0.9934258582907218,0.35175
78,62244,0.0396301188903567,1.590639810426541,0.36175
79,62265,0.08419811320754722,1.606846473029044,0.39025
82,62356,0.033144475920679886,1.2539229671897276,0.3263333333333333
83,62404,0.06611018363939898,1.798168955472335,0.48125
85,62415,0.02038980509745128,1.6736283185840826,0.39475
88,62556,0.02044374009508716,1.4857363145720928,0.31425
89,62558,0.04473684210526317,1.5708245243128969,0.2933333333333333
91,62700,0.037377049180327866,0.9927140255009108,0.37175
94,62864,0.01252336448598131,2.035467980295571,0.29575
97,62895,0.09464285714285707,1.7717842323651478,0.495
98,62907,0.012900575184880856,1.4908595877090682,0.4215
102,62925,0.048224299065420584,2.0123456790123484,0.3765
103,62931,0.08296529968454253,1.738029719317558,0.4585
104,62934,0.05370705244122968,2.4473684210526363,0.39799999999999996
105,62947,0.10633299284984672,1.4837696335078534,0.56925
124,63704,0.005482456140350878,1.2156084656084658,0.32475
125,63722,0.041491841491841486,1.3869731800766285,0.34450000000000003
131,63963,0.046224256292906184,2.082563154651888,0.4115
132,64004,0.014313725490196078,1.0456375838926182,0.329
133,64006,0.008324974924774322,1.5751273344651986,0.35375
138,64022,0.0564935064935065,1.2336448598130838,0.345
144,64153,0.08169014084507037,2.878177966101706,0.439
146,64166,0.05192982456140352,1.7350689127105712,0.31825000000000003
