,PCODE_YEAR,배럴지수,뜬공땅볼비율,홈런,장타율
0,50165_2020,0.1605839416058394,2.386363636363636,38,0.5920000000000001
1,50165_2021,0.15037593984962405,2.0370370370370368,8,0.422
2,50350_2020,0.0625,1.8974358974358971,2,0.336
3,50458_2020,0.0,1.2391304347826086,1,0.272
4,50458_2021,0.0,0.9767441860465116,1,0.314
5,50469_2020,0.0782608695652174,1.6296296296296295,8,0.3670000000000001
6,50506_2020,0.03896103896103896,1.6404494382022472,12,0.422
7,50506_2021,0.0273224043715847,1.6511627906976745,4,0.39
8,50704_2021,0.04,1.25,1,0.233
9,50709_2021,0.0,2.1538461538461537,0,0.234
10,50730_2020,0.07262569832402235,2.433333333333333,9,0.428
11,50854_2020,0.003401360544217687,1.7205882352941178,1,0.326
12,50854_2021,0.01183431952662722,2.689655172413793,4,0.371
13,50923_2020,0.13141025641025642,2.150943396226415,31,0.541
14,50923_2021,0.15,2.185185185185185,18,0.5329999999999999
15,51004_2021,0.0967741935483871,1.5151515151515151,7,0.404
16,51203_2021,0.03614457831325301,1.6666666666666667,2,0.397
17,51324_2021,0.061855670103092786,1.380952380952381,2,0.374
18,51463_2021,0.07317073170731707,1.7843137254901962,20,0.546
19,51725_2021,0.040229885057471264,1.5121951219512195,7,0.394
20,51817_2021,0.1282051282051282,1.5757575757575757,13,0.454
21,60523_2018,0.11016949152542373,1.5384615384615383,7,0.494
22,60523_2019,0.034782608695652174,1.3548387096774193,2,0.289
23,60523_2020,0.05517241379310345,2.224489795918368,11,0.4270000000000001
24,60523_2021,0.04411764705882353,1.9428571428571428,9,0.487
25,60558_2018,0.06944444444444445,0.935483870967742,12,0.421
26,60558_2019,0.0593607305936073,1.7234042553191489,6,0.35200000000000004
27,60558_2020,0.02469135802469136,1.7878787878787878,5,0.397
28,60558_2021,0.05,2.066666666666667,4,0.387
29,60566_2018,0.0,0.7142857142857143,0,0.262
30,60566_2019,0.0,0.7884615384615384,0,0.308
31,61102_2018,0.11228070175438597,1.6610169491525424,19,0.508
32,61102_2019,0.1018867924528302,2.2444444444444445,16,0.438
33,61102_2020,0.08561643835616438,2.0943396226415096,16,0.415
34,61102_2021,0.0821917808219178,1.5714285714285714,5,0.3670000000000001
35,61186_2018,0.028225806451612906,0.8571428571428571,2,0.435
36,61186_2019,0.030136986301369864,0.9587628865979382,2,0.374
37,61186_2020,0.01762114537444934,1.4642857142857142,3,0.333
38,61186_2021,0.023809523809523808,1.054054054054054,2,0.293
39,61197_2019,0.02395209580838324,1.25,5,0.378
40,61208_2018,0.024509803921568627,0.8305084745762712,2,0.375
41,61208_2020,0.019417475728155338,1.1052631578947372,2,0.355
42,61208_2021,0.0,0.8,0,0.29
43,61353_2018,0.0427807486631016,1.2,6,0.4
44,61353_2019,0.040880503144654086,1.0963855421686748,3,0.421
45,61353_2020,0.03125,1.351351351351351,3,0.371
46,61353_2021,0.015151515151515154,1.5882352941176472,0,0.287
47,61404_2018,0.02197802197802198,1.2528735632183907,11,0.423
48,61404_2019,0.010714285714285714,1.6451612903225807,5,0.387
49,61404_2020,0.0053191489361702135,1.948717948717949,3,0.315
50,61404_2021,0.03448275862068965,1.0,3,0.407
51,61554_2021,0.030769230769230767,1.1176470588235294,1,0.29600000000000004
52,61700_2018,0.056737588652482275,1.0285714285714285,5,0.392
53,61700_2020,0.00909090909090909,1.0666666666666669,4,0.337
54,61869_2018,0.04580152671755725,2.208333333333333,3,0.338
55,62025_2019,0.05172413793103448,1.1020408163265305,8,0.395
56,62234_2018,0.02808988764044944,0.5625,1,0.311
57,62234_2019,0.004807692307692308,1.147540983606557,0,0.28600000000000003
58,62234_2021,0.0,1.4285714285714286,0,0.28600000000000003
59,62244_2018,0.09174311926605504,2.625,3,0.406
60,62244_2019,0.025806451612903226,1.3896103896103895,4,0.39
61,62244_2020,0.04332129963898917,1.7796610169491525,4,0.364
62,62244_2021,0.032786885245901634,1.1666666666666667,0,0.287
63,62265_2019,0.06956521739130435,1.0666666666666669,5,0.463
64,62265_2020,0.0898876404494382,1.8070175438596487,8,0.366
65,62332_2018,0.047244094488188976,1.5172413793103448,3,0.307
66,62356_2018,0.011111111111111113,1.0,3,0.369
67,62356_2019,0.07758620689655173,1.4,3,0.333
68,62404_2018,0.05362776025236593,1.6206896551724137,20,0.5329999999999999
69,62404_2019,0.07418397626112759,2.028985507246377,15,0.444
70,62404_2020,0.07120743034055728,1.7878787878787878,15,0.478
71,62404_2021,0.06787330316742081,1.7,11,0.47
72,62415_2018,0.03333333333333333,1.7228915662650603,9,0.4320000000000001
73,62415_2019,0.011730205278592377,1.7160493827160497,5,0.328
74,62415_2020,0.02445652173913044,1.728395061728395,11,0.415
75,62415_2021,0.014634146341463415,1.5,4,0.404
76,62556_2018,0.05204460966542751,1.3709677419354838,11,0.442
77,62556_2019,0.004081632653061225,1.3442622950819672,1,0.28800000000000003
78,62556_2021,0.0,1.5714285714285714,0,0.244
79,62558_2020,0.027272727272727268,1.4482758620689655,5,0.327
80,62558_2021,0.08823529411764706,2.0,4,0.36
81,62700_2018,0.04316546762589928,0.8023255813953488,9,0.364
82,62700_2020,0.027210884353741496,1.3142857142857145,2,0.35100000000000003
83,62700_2021,0.04,1.0208333333333333,4,0.404
84,62797_2018,0.013071895424836602,1.5833333333333333,2,0.325
85,62802_2019,0.02631578947368421,1.065217391304348,3,0.32299999999999995
86,62864_2018,0.01327433628318584,1.74468085106383,6,0.35200000000000004
87,62864_2020,0.018633540372670808,2.3666666666666667,2,0.318
88,62864_2021,0.011764705882352941,2.117647058823529,2,0.325
89,62884_2018,0.06802721088435375,1.0810810810810811,7,0.45
90,62895_2018,0.10429447852760736,2.163636363636364,41,0.601
91,62895_2019,0.07291666666666667,1.4084507042253518,12,0.396
92,62895_2020,0.1297709923664122,1.8461538461538465,15,0.508
93,62895_2021,0.11920529801324505,1.9310344827586208,13,0.475
94,62907_2018,0.018867924528301886,0.9021739130434784,5,0.438
95,62907_2019,0.010610079575596816,1.6973684210526316,1,0.434
96,62907_2020,0.015665796344647518,1.7702702702702702,8,0.475
97,62907_2021,0.007194244604316547,1.5151515151515151,1,0.339
98,62925_2020,0.043333333333333335,2.0350877192982457,12,0.463
99,62925_2021,0.030303030303030307,1.9629629629629632,4,0.393
100,62931_2018,0.07482993197278913,1.2714285714285714,11,0.431
101,62931_2019,0.1016949152542373,1.9148936170212767,13,0.454
102,62931_2020,0.1087719298245614,1.9272727272727272,20,0.48
103,62931_2021,0.04411764705882353,1.8695652173913044,6,0.469
104,62934_2018,0.04405286343612335,1.5918367346938775,13,0.433
105,62934_2019,0.06806282722513089,2.4054054054054053,9,0.387
106,62934_2020,0.07407407407407407,4.0,8,0.374
107,62947_2018,0.0748663101604278,1.1264367816091954,23,0.518
108,62947_2020,0.1021021021021021,1.6666666666666667,34,0.596
109,62947_2021,0.14150943396226415,1.5106382978723405,17,0.518
110,63123_2018,0.045454545454545456,1.8636363636363635,3,0.359
111,63123_2021,0.03225806451612903,2.055555555555556,2,0.313
112,63202_2021,0.02666666666666667,1.2105263157894737,2,0.32
113,63257_2021,0.04195804195804196,2.0,5,0.41
114,63260_2018,0.04854368932038835,0.9310344827586208,4,0.345
115,63440_2021,0.03125,0.95,2,0.337
116,63700_2021,0.010309278350515464,1.761904761904762,0,0.333
117,63704_2018,0.010471204188481676,1.4482758620689655,8,0.431
118,63704_2019,0.0036101083032490976,1.0952380952380951,2,0.312
119,63704_2020,0.0,1.0967741935483872,1,0.316
120,63704_2021,0.017857142857142856,1.3529411764705883,1,0.24
121,63722_2019,0.053691275167785234,1.5,3,0.303
122,63722_2020,0.039735099337748346,1.6571428571428573,9,0.3720000000000001
123,63722_2021,0.028169014084507043,1.0,1,0.287
124,63963_2018,0.037313432835820885,2.019230769230769,8,0.414
125,63963_2019,0.02325581395348837,2.0,6,0.35600000000000004
126,63963_2020,0.06299212598425198,2.156862745098039,12,0.41
127,63963_2021,0.0851063829787234,2.176470588235294,8,0.466
128,64004_2019,0.009146341463414634,1.0396039603960396,0,0.307
129,64004_2020,0.022727272727272728,0.9268292682926829,5,0.34700000000000003
130,64004_2021,0.02,1.5,0,0.333
131,64006_2018,0.0149812734082397,1.5303030303030305,4,0.371
132,64006_2019,0.007722007722007722,0.9240506329113924,3,0.34
133,64006_2020,0.003246753246753247,1.5384615384615383,3,0.3
134,64006_2021,0.012269938650306749,3.16,4,0.404
135,64153_2018,0.0784313725490196,2.6666666666666665,22,0.455
136,64153_2021,0.1020408163265306,3.1923076923076925,16,0.498
137,64166_2020,0.04956268221574344,1.6428571428571428,13,0.42
138,64166_2021,0.03888888888888889,1.8285714285714283,5,0.396
139,64300_2018,0.06299212598425198,2.9642857142857144,20,0.474
140,64300_2019,0.07614213197969544,2.931034482758621,19,0.491
141,64300_2020,0.07951807228915662,3.272727272727273,30,0.523
142,64346_2018,0.052173913043478265,1.1785714285714286,13,0.468
143,64346_2019,0.05213270142180095,1.1607142857142858,0,0.314
144,64468_2019,0.03669724770642202,1.625,4,0.387
145,64468_2021,0.043478260869565216,2.0,2,0.376
146,64504_2019,0.05084745762711865,1.1176470588235294,1,0.247
147,64504_2020,0.07142857142857142,1.809523809523809,4,0.423
148,64560_2019,0.03296703296703297,2.4222222222222216,6,0.383
149,64560_2021,0.0297029702970297,1.3703703703703705,0,0.285
150,64610_2018,0.0,1.0277777777777777,0,0.306
151,64610_2021,0.0,0.9,0,0.272
152,64646_2019,0.008849557522123894,1.0918367346938775,2,0.317
153,64646_2020,0.015105740181268885,1.4418604651162792,3,0.275
154,64646_2021,0.02054794520547945,1.0227272727272727,1,0.327
155,64657_2020,0.060606060606060615,1.4285714285714286,5,0.331
156,64717_2018,0.0583941605839416,2.272727272727273,7,0.411
157,64717_2021,0.1111111111111111,1.9230769230769231,4,0.382
158,64868_2019,0.0,0.8235294117647058,0,0.35600000000000004
159,64868_2020,0.0,1.2857142857142858,0,0.333
160,64868_2021,0.0,0.9454545454545454,0,0.292
161,64984_2019,0.011857707509881422,1.6,5,0.38
162,64984_2020,0.0053475935828877,2.0769230769230766,1,0.274
163,64984_2021,0.012987012987012988,1.2777777777777777,0,0.35700000000000004
164,65357_2018,0.03571428571428571,1.0833333333333333,7,0.502
