,PCODE_YEAR,타율,홈런,인플레이타구비율,뜬공땅볼비율,배럴지수,장타율
0,50165_2020,0.278,38,0.3241106719367589,2.386363636363636,0.1605839416058394,0.5920000000000001
1,50165_2021,0.243,8,0.27611940298507465,2.0370370370370368,0.15037593984962405,0.422
2,50350_2020,0.254,2,0.297029702970297,1.8974358974358971,0.0625,0.336
3,50458_2020,0.232,1,0.2801932367149759,1.2391304347826086,0.0,0.272
4,50458_2021,0.267,1,0.30612244897959184,0.9767441860465116,0.0,0.314
5,50469_2020,0.209,8,0.2598425196850393,1.6296296296296295,0.0782608695652174,0.3670000000000001
6,50506_2020,0.28,12,0.3054187192118227,1.6404494382022472,0.03896103896103896,0.422
7,50506_2021,0.277,4,0.3191489361702128,1.6511627906976745,0.0273224043715847,0.39
8,50704_2021,0.155,1,0.2459016393442623,1.25,0.04,0.233
9,50709_2021,0.196,0,0.28378378378378377,2.1538461538461537,0.0,0.234
10,50730_2020,0.265,9,0.3455497382198953,2.433333333333333,0.07262569832402235,0.428
11,50854_2020,0.258,1,0.3115183246073299,1.7205882352941178,0.003401360544217687,0.326
12,50854_2021,0.263,4,0.2964824120603015,2.689655172413793,0.01183431952662722,0.371
13,50923_2020,0.278,31,0.34797297297297297,2.150943396226415,0.13141025641025642,0.541
14,50923_2021,0.28,18,0.34838709677419355,2.185185185185185,0.15,0.5329999999999999
15,51004_2021,0.271,7,0.3253012048192771,1.5151515151515151,0.0967741935483871,0.404
16,51203_2021,0.275,2,0.3736263736263736,1.6666666666666667,0.03614457831325301,0.397
17,51324_2021,0.259,2,0.3177570093457944,1.380952380952381,0.061855670103092786,0.374
18,51463_2021,0.312,20,0.3151750972762646,1.7843137254901962,0.07317073170731707,0.546
19,51725_2021,0.257,7,0.3114754098360656,1.5121951219512195,0.040229885057471264,0.394
20,51817_2021,0.255,13,0.3072289156626506,1.5757575757575757,0.1282051282051282,0.454
21,60523_2018,0.305,7,0.368,1.5384615384615383,0.11016949152542373,0.494
22,60523_2019,0.226,2,0.2928571428571429,1.3548387096774193,0.034782608695652174,0.289
23,60523_2020,0.295,11,0.3548387096774194,2.224489795918368,0.05517241379310345,0.4270000000000001
24,60523_2021,0.333,9,0.375,1.9428571428571428,0.04411764705882353,0.487
25,60558_2018,0.254,12,0.3164556962025317,0.935483870967742,0.06944444444444445,0.421
26,60558_2019,0.25,6,0.3082706766917293,1.7234042553191489,0.0593607305936073,0.35200000000000004
27,60558_2020,0.274,5,0.3241758241758242,1.7878787878787878,0.02469135802469136,0.397
28,60558_2021,0.252,4,0.3132530120481928,2.066666666666667,0.05,0.387
