,PCODE_YEAR,타율,홈런,볼삼비,P/PA,초구,전체,컨택%,2S후커트%,2S후선구%,출루율
0,60558_2018,0.254,12.0,0.2608695652173913,3.75,30.0,48.2,71.5,66.6,33.4,0.30997304582210244
1,61102_2018,0.29600000000000004,19.0,0.35,3.76,28.0,50.1,78.3,76.8,31.6,0.35344827586206895
2,61186_2018,0.34,2.0,0.8125,3.63,35.3,46.9,82.4,80.2,36.7,0.40987654320987654
3,61208_2018,0.301,2.0,0.4318181818181818,3.75,29.8,48.4,84.7,79.8,29.9,0.3482758620689655
4,61353_2018,0.27899999999999997,6.0,0.15625,3.81,39.9,51.0,72.6,63.8,34.8,0.31054131054131057
5,61404_2018,0.3,11.0,0.7714285714285715,3.91,10.6,41.3,85.3,83.2,33.3,0.37628865979381443
6,61700_2018,0.278,5.0,0.6440677966101694,4.26,26.3,42.6,81.9,76.8,36.8,0.3819444444444444
7,62234_2018,0.268,1.0,0.6744186046511628,3.79,43.9,48.3,81.5,78.1,37.2,0.37174721189591076
8,62332_2018,0.228,3.0,0.20689655172413793,3.54,33.8,43.2,73.7,57.8,36.9,0.29333333333333333
9,62356_2018,0.295,3.0,0.30337078651685395,4.15,20.8,39.6,76.1,67.3,35.4,0.3611940298507463
10,62404_2018,0.33299999999999996,20.0,0.39090909090909093,4.05,30.4,48.3,75.7,74.7,34.5,0.39433962264150946
11,62415_2018,0.299,9.0,0.5656565656565656,4.1,32.1,46.7,85.8,82.7,34.7,0.36037441497659906
12,62556_2018,0.294,11.0,0.3473684210526316,3.72,30.1,46.6,78.2,71.5,33.2,0.3592436974789916
13,62700_2018,0.254,9.0,0.2153846153846154,3.69,45.7,56.4,72.7,68.8,31.7,0.3003875968992248
14,62797_2018,0.254,2.0,0.6875,4.04,25.9,41.9,84.7,82.2,36.3,0.3403361344537815
15,62864_2018,0.245,6.0,0.6190476190476191,3.9,24.7,38.6,83.5,74.3,37.9,0.3333333333333333
16,62884_2018,0.293,7.0,0.43859649122807015,3.94,40.9,51.8,75.1,73.6,34.9,0.3843137254901961
17,62907_2018,0.324,5.0,0.6274509803921569,3.86,20.7,41.3,90.4,84.2,34.0,0.3869565217391304
18,62931_2018,0.28300000000000003,11.0,0.358695652173913,3.8,36.2,47.8,76.2,71.1,35.4,0.33698030634573306
19,62934_2018,0.26,13.0,0.453125,4.08,31.8,44.3,82.4,77.0,38.3,0.3202247191011236
20,62947_2018,0.318,23.0,0.33587786259541985,3.74,47.1,55.3,77.2,70.7,35.9,0.38461538461538464
21,63704_2018,0.313,8.0,0.5581395348837209,3.94,31.8,47.3,80.8,80.2,37.0,0.38341968911917096
22,63963_2018,0.28300000000000003,8.0,0.603448275862069,3.95,32.5,47.6,84.2,82.5,32.2,0.3556701030927835
23,64006_2018,0.259,4.0,0.3448275862068966,3.8,24.8,47.5,82.4,82.1,29.7,0.3053435114503817
24,64153_2018,0.263,22.0,0.2962962962962963,4.0,15.4,48.4,79.9,81.8,28.9,0.3030888030888031
25,64300_2018,0.28800000000000003,20.0,0.6666666666666666,3.94,26.7,42.6,83.6,80.9,35.7,0.36048526863084923
26,64346_2018,0.293,13.0,0.18487394957983194,3.69,42.7,54.2,68.1,65.7,28.4,0.328125
27,64717_2018,0.275,7.0,0.21818181818181817,3.82,30.8,51.8,74.0,71.5,30.8,0.31981981981981983
28,64717_2018,0.275,7.0,0.21818181818181817,3.82,30.8,51.8,74.0,71.5,30.8,0.31981981981981983
29,65357_2018,0.313,7.0,0.4897959183673469,4.13,22.3,40.1,81.0,72.8,33.8,0.3813559322033898
30,76802_2018,0.27699999999999997,4.0,0.6904761904761905,3.48,32.9,45.9,88.5,84.8,35.6,0.3355263157894737
31,66606_2018,0.272,4.0,0.3448275862068966,3.81,36.6,52.0,81.1,79.3,19.1,0.3241590214067278
32,66838_2018,0.252,27.0,0.1574074074074074,3.71,39.2,52.2,73.6,66.5,34.5,0.2853932584269663
33,67025_2018,0.305,43.0,0.5,4.06,22.8,44.1,73.7,70.0,37.5,0.39197530864197533
34,67304_2018,0.27,5.0,0.2773109243697479,3.86,28.3,45.1,73.3,66.0,33.8,0.32908704883227174
35,67341_2018,0.355,6.0,0.7241379310344828,3.75,19.8,39.0,90.7,81.2,31.8,0.4153846153846154
36,67394_2018,0.258,17.0,0.4177215189873418,3.94,22.4,45.0,77.1,72.0,32.0,0.3383458646616541
37,67450_2018,0.33,33.0,0.6074766355140186,4.12,17.1,40.5,82.0,75.0,35.5,0.4187604690117253
38,67598_2018,0.268,23.0,0.24812030075187969,3.72,34.7,50.9,72.4,64.0,34.0,0.33201581027667987
39,67650_2018,0.31,20.0,0.6116504854368932,3.75,37.3,47.7,77.1,73.1,39.4,0.3983050847457627
40,67872_2018,0.316,43.0,0.5853658536585366,4.03,35.2,45.1,74.3,72.0,41.1,0.4042207792207792
41,67935_2018,0.257,26.0,0.3819444444444444,3.89,36.4,48.9,68.9,64.9,38.1,0.34554973821989526
42,68050_2018,0.29,29.0,0.41935483870967744,4.04,33.9,45.3,76.9,71.8,36.8,0.35555555555555557
43,68525_2018,0.23199999999999998,4.0,0.20689655172413793,3.9,31.0,46.1,74.6,68.1,31.1,0.27876106194690264
44,68730_2018,0.306,30.0,0.5483870967741935,3.88,28.5,48.0,80.0,78.5,36.2,0.38
45,68743_2018,0.249,4.0,0.44,4.19,19.8,41.2,76.8,72.1,38.5,0.3244444444444444
46,70410_2018,0.34,18.0,0.40350877192982454,3.3,31.9,51.4,80.2,76.7,28.0,0.3818565400843882
47,70756_2018,0.28,20.0,0.711864406779661,3.9,27.6,44.2,80.0,76.0,41.3,0.3723958333333333
48,71432_2018,0.284,10.0,0.4725274725274725,4.19,21.9,45.1,73.8,71.7,34.3,0.36597938144329895
49,71564_2018,0.33299999999999996,37.0,0.5733333333333334,3.66,26.5,47.4,81.3,79.2,33.6,0.40098199672667756
50,71752_2018,0.315,10.0,0.23214285714285715,3.82,21.8,44.6,80.7,70.9,32.0,0.3602941176470588
51,71837_2018,0.298,14.0,0.38596491228070173,4.06,24.7,46.2,75.3,72.7,38.3,0.3702290076335878
52,72133_2018,0.303,15.0,0.4392523364485981,3.9,27.1,47.9,80.4,76.2,32.1,0.36192109777015435
53,72443_2018,0.33899999999999997,25.0,0.7586206896551724,4.06,30.7,46.7,80.0,81.5,39.4,0.42045454545454547
54,72456_2018,0.23800000000000002,4.0,0.275,3.65,28.0,45.9,84.1,80.1,34.1,0.28222996515679444
55,72546_2018,0.275,6.0,0.4,3.73,27.5,48.7,86.9,83.8,32.9,0.3088235294117647
56,73113_2018,0.262,25.0,0.4496124031007752,4.2,28.4,42.6,74.1,67.7,40.7,0.35660377358490564
57,73136_2018,0.295,34.0,0.24475524475524477,3.9,45.5,53.9,66.0,64.7,34.8,0.35094339622641507
58,73209_2018,0.262,12.0,0.5757575757575758,3.91,37.1,49.0,78.3,79.5,34.9,0.33906633906633904
59,73342_2018,0.308,4.0,0.7272727272727273,3.78,28.1,42.5,81.1,80.3,36.3,0.38526912181303113
60,74163_2018,0.293,1.0,0.9516129032258065,4.03,32.2,46.6,91.0,86.9,34.2,0.37918871252204583
61,74206_2018,0.311,16.0,0.6753246753246753,4.0,28.7,44.1,83.5,77.4,37.5,0.3913978494623656
62,74215_2018,0.276,19.0,0.5797101449275363,3.78,26.9,45.7,81.0,79.5,33.3,0.33988212180746563
63,74339_2018,0.33899999999999997,20.0,0.8867924528301887,3.87,19.6,41.5,87.0,82.9,34.3,0.4095634095634096
64,74465_2018,0.255,16.0,0.4875,4.15,32.3,44.6,76.4,75.2,35.1,0.36675461741424803
65,74540_2018,0.26899999999999996,22.0,0.3020833333333333,3.68,35.9,47.9,73.4,70.6,35.8,0.3381742738589212
66,75125_2018,0.345,43.0,0.5964912280701754,4.12,19.3,43.4,67.8,67.2,40.4,0.4678714859437751
67,75151_2018,0.272,11.0,0.6551724137931034,3.54,30.5,47.9,82.5,79.4,33.5,0.3375
68,75334_2018,0.27899999999999997,27.0,0.49586776859504134,3.98,40.0,48.6,71.4,64.3,39.7,0.3757828810020877
69,75566_2018,0.301,20.0,0.5048543689320388,4.05,23.9,45.7,77.4,74.6,37.1,0.375
70,75808_2018,0.304,11.0,0.9069767441860465,3.59,29.7,43.6,85.1,82.0,37.6,0.3788235294117647
71,75847_2018,0.244,35.0,0.4496124031007752,4.14,40.1,47.0,70.2,67.6,38.2,0.37067209775967414
72,76100_2018,0.273,10.0,0.8620689655172413,4.36,21.8,36.7,73.7,67.2,47.4,0.43410852713178294
73,76232_2018,0.358,23.0,1.125,3.65,35.4,46.1,91.2,87.3,34.9,0.43418467583497056
74,76249_2018,0.318,17.0,0.5147058823529411,3.59,38.1,49.8,80.4,76.7,39.5,0.37777777777777777
75,76267_2018,0.33299999999999996,26.0,0.5730337078651685,4.17,17.1,43.0,86.2,81.7,31.5,0.3976311336717428
76,76290_2018,0.36200000000000004,20.0,0.7704918032786885,3.66,29.8,45.2,84.9,79.0,36.2,0.42166344294003866
77,76313_2018,0.29600000000000004,25.0,0.4083333333333333,3.96,22.6,43.6,79.4,72.2,33.1,0.3594548551959114
78,79402_2018,0.263,10.0,0.2967032967032967,3.94,12.2,43.1,80.6,77.2,31.6,0.3136456211812627
79,76753_2018,0.297,18.0,0.1935483870967742,3.59,49.6,57.5,74.2,70.7,33.7,0.3282608695652174
80,76812_2018,0.32899999999999996,17.0,0.6615384615384615,3.98,26.8,43.8,84.4,83.1,34.4,0.40471092077087795
81,76849_2018,0.302,4.0,0.625,3.8,20.9,45.2,88.4,83.3,28.7,0.36639676113360325
82,77248_2018,0.313,15.0,0.3445378151260504,3.89,44.3,51.3,69.7,69.8,41.8,0.3687258687258687
83,77463_2018,0.293,15.0,0.3177570093457944,3.81,44.3,52.2,72.1,66.9,33.5,0.36018957345971564
84,77532_2018,0.32899999999999996,26.0,0.6868686868686869,3.99,31.5,45.3,80.9,78.9,37.2,0.4048
85,77564_2018,0.28300000000000003,10.0,0.5,4.0,15.3,44.7,79.1,78.1,35.9,0.3554603854389722
86,78135_2018,0.316,13.0,0.3780487804878049,3.72,37.5,48.6,79.3,76.7,31.4,0.3770833333333333
87,78224_2018,0.33399999999999996,44.0,0.44029850746268656,3.83,44.2,50.0,73.2,65.5,38.7,0.40924092409240925
88,78288_2018,0.262,1.0,0.32786885245901637,3.9,22.9,45.5,82.2,75.8,35.3,0.3373134328358209
