,PCODE,타율,홈런,볼삼비,P/PA,초구,전체,컨택%,2S후커트%,2S후선구%,출루율
0,74540,0.2785,16.25,0.4513618677042802,3.74,26.775,45.27500000000001,77.72500000000002,74.75,36.825,0.34543097861309136
2,62925,0.26325,4.5,0.3879310344827586,3.73,14.8,47.05,85.45,81.65,26.4,0.33700980392156865
3,61353,0.285,3.0,0.21568627450980396,3.725,36.95,52.85,76.05,73.19999999999997,30.3,0.32776451869530626
4,62404,0.29675,15.25,0.4709302325581395,3.9175,32.025,47.825,78.075,77.05000000000003,32.85,0.3665443104352386
5,63963,0.2655,8.5,0.8037383177570093,4.2775,18.4,40.675,86.2,82.5,36.575,0.3703170028818444
6,71837,0.26775000000000004,10.0,0.36507936507936506,3.92,24.275,47.075,76.15,73.65,32.075,0.33745874587458746
7,62356,0.2503333333333333,2.333333333333333,0.29834254143646405,3.95,30.8,43.5,72.0,64.7,36.85,0.33044733044733043
8,66838,0.247,13.5,0.2529182879377432,3.725,35.1,51.2,75.0,71.0,34.65,0.3087136929460581
9,77564,0.252,7.0,0.4694656488549618,4.0200000000000005,19.55,45.7,79.05000000000003,77.75,34.3,0.33172746042670337
10,62864,0.22275,2.5,0.6711409395973155,4.0,28.866666666666664,41.266666666666666,82.23333333333333,77.89999999999998,38.43333333333333,0.3294392523364486
11,64004,0.268,1.6666666666666667,0.55,3.715,34.25,44.85,85.7,79.2,31.55,0.3372228704784131
12,79402,0.26225000000000004,5.25,0.6778242677824268,3.975,13.525,38.6,86.225,81.57499999999997,34.475,0.34878462408140193
13,78603,0.303,2.5,1.2330827067669172,3.8475,24.125,39.475,93.125,87.2,35.0,0.3770491803278688
14,62934,0.237,10.0,0.4335260115606937,3.936666666666666,33.6,45.46666666666667,80.33333333333333,74.33333333333333,39.13333333333333,0.3081201334816463
15,76802,0.269,2.75,0.9291338582677166,3.4825000000000004,31.975,44.825,88.99999999999999,83.625,36.375,0.3304054054054054
16,74206,0.27574999999999994,5.75,0.8994974874371859,3.8775,25.025,43.875,85.15,81.19999999999997,37.55,0.3745072273324573
18,70410,0.3243333333333333,7.333333333333332,0.3883495145631069,3.345,30.15,50.5,80.0,77.80000000000003,31.7,0.3652275379229872
19,62558,0.19699999999999998,3.0,0.6967213114754098,4.07,27.4,40.1,81.1,73.7,43.6,0.32554257095158595
20,50458,0.2495,1.0,0.5692307692307692,3.715,26.5,45.6,87.4,81.9,30.15,0.30638297872340425
21,71752,0.2796666666666667,6.0,0.5052083333333334,3.9133333333333336,20.766666666666666,44.43333333333334,81.53333333333335,74.96666666666667,31.96666666666667,0.3649564375605033
22,64984,0.29275,1.75,0.31756756756756754,3.6633333333333336,32.63333333333333,51.93333333333334,82.13333333333333,78.39999999999998,28.866666666666664,0.3108252947481243
23,64300,0.3003333333333333,23.0,0.868995633187773,3.8,27.866666666666664,42.1,84.33333333333333,79.33333333333334,35.4,0.3853311439518336
24,61404,0.2875,5.5,0.8074534161490683,3.95,12.425,41.625,87.475,86.2,30.475,0.3608179419525066
26,67304,0.28125,3.75,0.40782122905027934,3.8875,24.825000000000006,45.0,78.15,72.875,31.325000000000006,0.34235758601240834
27,62947,0.3245,19.5,0.34316353887399464,3.7833333333333337,47.43333333333334,55.9,74.13333333333334,69.3,33.56666666666667,0.3864734299516908
28,73209,0.231,5.25,0.3522727272727273,3.84,36.7,50.25,77.19999999999997,76.8,33.35,0.3095768374164811
29,78629,0.2280000000000001,12.25,0.5118110236220472,4.05,27.3,44.15,72.05000000000003,69.80000000000001,40.5,0.3724315068493151
30,63704,0.24925,3.0,0.5555555555555556,3.966666666666667,28.83333333333333,45.43333333333334,79.66666666666666,77.83333333333333,34.833333333333336,0.3488372093023256
31,69737,0.223,8.666666666666666,0.3296296296296297,4.005,29.75,44.95,71.2,65.0,36.35,0.3141592920353982
32,62931,0.28625,12.5,0.4255952380952381,3.935,33.7,47.62500000000001,74.67500000000003,71.80000000000003,34.675,0.35372848948374763
33,50165,0.2605,23.0,0.40782122905027934,4.025,33.65,48.5,69.8,65.55,37.9,0.3536931818181818
