,PCODE,타율,홈런,볼삼비,P/PA,전체,컨택%,2S후선구%,출루율
0,74540,0.2785,16.25,0.4513618677042802,3.74,45.27500000000001,77.72500000000002,36.825,0.34543097861309136
2,62925,0.26325,4.5,0.3879310344827586,3.73,47.05,85.45,26.4,0.33700980392156865
3,61353,0.285,3.0,0.21568627450980396,3.725,52.85,76.05,30.3,0.32776451869530626
4,62404,0.29675,15.25,0.4709302325581395,3.9175,47.825,78.075,32.85,0.3665443104352386
5,63963,0.2655,8.5,0.8037383177570093,4.2775,40.675,86.2,36.575,0.3703170028818444
6,71837,0.26775000000000004,10.0,0.36507936507936506,3.92,47.075,76.15,32.075,0.33745874587458746
7,62356,0.2503333333333333,2.333333333333333,0.29834254143646405,3.95,43.5,72.0,36.85,0.33044733044733043
8,66838,0.247,13.5,0.2529182879377432,3.725,51.2,75.0,34.65,0.3087136929460581
9,77564,0.252,7.0,0.4694656488549618,4.0200000000000005,45.7,79.05000000000003,34.3,0.33172746042670337
10,62864,0.22275,2.5,0.6711409395973155,4.0,41.266666666666666,82.23333333333333,38.43333333333333,0.3294392523364486
11,64004,0.268,1.6666666666666667,0.55,3.715,44.85,85.7,31.55,0.3372228704784131
12,79402,0.26225000000000004,5.25,0.6778242677824268,3.975,38.6,86.225,34.475,0.34878462408140193
13,78603,0.303,2.5,1.2330827067669172,3.8475,39.475,93.125,35.0,0.3770491803278688
14,62934,0.237,10.0,0.4335260115606937,3.936666666666666,45.46666666666667,80.33333333333333,39.13333333333333,0.3081201334816463
15,76802,0.269,2.75,0.9291338582677166,3.4825000000000004,44.825,88.99999999999999,36.375,0.3304054054054054
16,74206,0.27574999999999994,5.75,0.8994974874371859,3.8775,43.875,85.15,37.55,0.3745072273324573
18,70410,0.3243333333333333,7.333333333333332,0.3883495145631069,3.345,50.5,80.0,31.7,0.3652275379229872
19,62558,0.19699999999999998,3.0,0.6967213114754098,4.07,40.1,81.1,43.6,0.32554257095158595
20,50458,0.2495,1.0,0.5692307692307692,3.715,45.6,87.4,30.15,0.30638297872340425
21,71752,0.2796666666666667,6.0,0.5052083333333334,3.9133333333333336,44.43333333333334,81.53333333333335,31.96666666666667,0.3649564375605033
22,64984,0.29275,1.75,0.31756756756756754,3.6633333333333336,51.93333333333334,82.13333333333333,28.866666666666664,0.3108252947481243
23,64300,0.3003333333333333,23.0,0.868995633187773,3.8,42.1,84.33333333333333,35.4,0.3853311439518336
24,61404,0.2875,5.5,0.8074534161490683,3.95,41.625,87.475,30.475,0.3608179419525066
26,67304,0.28125,3.75,0.40782122905027934,3.8875,45.0,78.15,31.325000000000006,0.34235758601240834
27,62947,0.3245,19.5,0.34316353887399464,3.7833333333333337,55.9,74.13333333333334,33.56666666666667,0.3864734299516908
28,73209,0.231,5.25,0.3522727272727273,3.84,50.25,77.19999999999997,33.35,0.3095768374164811
29,78629,0.2280000000000001,12.25,0.5118110236220472,4.05,44.15,72.05000000000003,40.5,0.3724315068493151
30,63704,0.24925,3.0,0.5555555555555556,3.966666666666667,45.43333333333334,79.66666666666666,34.833333333333336,0.3488372093023256
31,69737,0.223,8.666666666666666,0.3296296296296297,4.005,44.95,71.2,36.35,0.3141592920353982
32,62931,0.28625,12.5,0.4255952380952381,3.935,47.62500000000001,74.67500000000003,34.675,0.35372848948374763
33,50165,0.2605,23.0,0.40782122905027934,4.025,48.5,69.8,37.9,0.3536931818181818
34,50350,0.254,2.0,0.5945945945945946,3.67,49.2,81.0,40.0,0.31985294117647056
35,67450,0.311,27.5,0.7474226804123711,4.1,39.7,82.15,37.6,0.4107600341588386
37,67025,0.3253333333333333,38.0,0.4695431472081218,3.9666666666666655,47.43333333333334,75.26666666666667,36.8,0.40021459227467815
38,50506,0.2785,8.0,0.9680851063829788,3.77,42.8,86.1,35.9,0.3637454981992797
39,78813,0.22125,7.25,0.4485294117647059,3.62,51.05,79.55000000000003,33.349999999999994,0.34385964912280703
40,72546,0.2625,3.0,0.3818181818181817,3.73,48.7,86.9,32.9,0.3024390243902439
41,76249,0.2555,7.0,0.5230769230769231,3.5966666666666662,48.63333333333333,79.93333333333334,39.6,0.3521671826625387
43,73113,0.24075,13.5,0.4664879356568365,4.135,42.95,72.825,38.85,0.3476312419974392
44,79365,0.265,11.0,0.518348623853211,3.9266666666666667,48.93333333333334,71.89999999999998,37.933333333333344,0.35166816952209196
45,62907,0.3185,3.75,0.8086419753086421,3.85,41.225,90.4,34.675,0.3939745075318656
46,75125,0.269,26.75,0.5652173913043478,4.165,43.875,67.025,36.9,0.4023738872403561
47,74465,0.27125,14.75,0.8110236220472441,4.17,42.175,77.325,37.175,0.3970088375254929
48,62244,0.26775,2.75,0.5714285714285714,3.87,48.66666666666666,82.4,39.56666666666667,0.34937759336099583
49,72133,0.295,6.0,0.4678362573099416,3.785,50.2,81.2,29.35,0.3532818532818533
50,64646,0.2446666666666667,2.0,0.4114832535885168,3.9933333333333336,46.2,83.63333333333334,29.86666666666667,0.29466357308584684
51,71432,0.2705,6.0,0.4814814814814815,4.19,45.1,73.8,34.3,0.3601694915254237
52,62415,0.28250000000000003,7.25,0.6282894736842105,4.115,44.85,86.10000000000002,33.5,0.3494675701839303
53,50730,0.265,9.0,0.3333333333333333,3.88,52.8,64.8,34.5,0.34375
54,64166,0.2425,4.5,0.4890829694323144,3.98,42.0,75.4,38.25,0.3636363636363637
55,67650,0.31,20.0,0.6116504854368932,3.75,47.7,77.1,39.4,0.3983050847457627
56,67598,0.268,23.0,0.2481203007518797,3.72,50.9,72.4,34.0,0.3320158102766799
57,69950,0.24600000000000002,8.0,0.35294117647058826,3.8,53.4,69.4,31.2,0.3080357142857143
58,68345,0.3095,20.0,0.6484375,3.81,45.0,78.6,43.2,0.3917963224893918
59,78168,0.29400000000000004,2.75,1.152046783625731,3.876666666666667,41.033333333333346,85.8,36.93333333333333,0.3828972559029994
60,77532,0.32275,12.0,0.7684210526315789,3.8225,46.625,82.75,35.95,0.3958139534883721
61,76753,0.2653333333333333,11.333333333333336,0.2094861660079052,3.5,57.0,74.83333333333333,34.7,0.3045930701047543
62,69901,0.22899999999999998,9.0,0.5161290322580645,3.76,44.0,82.2,33.6,0.2982456140350877
63,67935,0.257,26.0,0.3819444444444444,3.89,48.9,68.9,38.1,0.3455497382198953
64,62556,0.24175,3.5,0.4117647058823529,3.73,48.1,81.0,32.75,0.33363309352517984
65,64006,0.261,3.5,0.36641221374045796,3.95,47.55,82.825,27.425,0.30959949141767323
66,79608,0.317,10.25,0.791907514450867,3.69,43.225,83.69999999999997,32.55,0.3792895845875978
67,51004,0.271,7.0,0.44,3.92,49.0,78.1,31.0,0.336
68,50923,0.279,24.5,0.3043478260869565,3.865,47.85,67.35,39.9,0.3555291319857313
69,64153,0.263,13.666666666666664,0.3407821229050279,4.05,49.55,76.30000000000003,30.95,0.3180396246089677
71,78756,0.228,2.0,0.42361111111111105,3.92,43.0,81.7,32.2,0.30223880597014924
72,77248,0.22125,5.75,0.3728813559322034,3.89,51.3,69.7,41.8,0.3254132231404959
73,75334,0.29,19.0,0.5459459459459459,3.8525,49.625,74.9,39.8,0.3766088416340235
74,79109,0.26675000000000004,8.75,0.46043165467625896,4.04,45.975,76.45,37.25,0.35074626865671643
75,60558,0.2575,6.75,0.30522088353413657,3.686666666666667,49.43333333333334,76.43333333333334,35.9,0.3155127081507449
76,69569,0.251,9.0,0.5166666666666667,3.89,46.0,69.5,41.7,0.35074626865671643
77,61102,0.27,14.0,0.375886524822695,3.7625,47.95,78.32499999999997,30.35,0.33756038647342995
78,74339,0.30925,11.5,0.9096045197740112,3.9175,40.475,87.55000000000003,34.975,0.3872157344806392
79,74215,0.233,8.0,0.4666666666666666,3.78,45.7,81.0,33.3,0.3079947575360419
80,71564,0.30025,20.75,0.7043478260869566,3.625,47.725,82.025,33.849999999999994,0.37325349301397204
81,76849,0.2985,2.5,0.7446808510638298,3.9475,42.02500000000001,86.675,31.9,0.37277777777777776
82,70756,0.2555,10.5,0.7258064516129032,3.9,44.2,80.0,41.3,0.36626506024096384
