,PCODE,타율,홈런,볼삼비,전체,2S후선구%,출루율
0,61700,0.2227,3.95,0.5828111011638316,34.27,33.34,0.3651452282157676
1,65515,0.21600000000000003,3.6,0.12149532710280375,45.09,27.45,0.278688524590164
2,74540,0.28395,15.575,0.4844878878028049,44.9275,36.9725,0.3494089834515366
4,63123,0.2951,2.6,0.3055555555555555,68.38000000000001,38.09,0.2926829268292683
5,62925,0.34025000000000005,9.2,0.4855614973262033,56.20500000000001,31.83,0.3504767020276621
6,64610,0.3289,0.0,0.4761904761904762,51.48,43.29,0.3333333333333333
7,61353,0.26576666666666665,3.4,0.20259865255052936,52.875,29.965,0.3303092381231099
8,62404,0.293775,14.575,0.4862721171446004,47.7725,32.545,0.3647631935047362
9,63963,0.2641,8.65,0.8341463414634146,39.7625,37.1525,0.37371601208459215
10,71837,0.263725,9.5,0.3694745621351125,46.93750000000001,31.6175,0.3350736049298185
11,62356,0.21485,2.4,0.3133603238866397,35.19,29.625,0.3429815016322089
12,66838,0.25980000000000003,20.45,0.2695384615384615,45.88,31.215,0.33118412895226285
13,77564,0.24585,6.55,0.4775461106655974,45.94000000000001,34.085,0.32801098186547223
14,67504,0.3224,2.6,0.33333333333333337,56.94,47.71000000000001,0.3129251700680272
15,62864,0.248,3.0,0.7433392539964475,42.893333333333345,39.82333333333333,0.33731513083048914
16,64004,0.2579,2.75,0.5242334322453017,44.77500000000001,32.095,0.3302540415704388
17,79402,0.25917500000000004,4.575,0.7485112230874943,38.075,34.75750000000001,0.3509051241228845
18,78603,0.30395,2.3,1.236985236985237,39.3525,34.93000000000001,0.3779879169950091
19,62934,0.2107,8.666666666666666,0.4314115308151093,41.173333333333346,35.12,0.30620601407549586
20,76802,0.27,2.7750000000000004,0.9957374254049448,44.6425,36.6725,0.33292524845167804
21,65898,0.3118,7.0,0.3621190130624093,53.795,42.73500000000001,0.3508668242710796
22,63257,0.35750000000000004,6.5,1.2222222222222219,53.17,55.25,0.4048582995951417
23,62332,0.1596,2.1,0.20689655172413796,30.24,25.83,0.2933333333333333
24,74206,0.270575,4.575,0.919023849140322,43.8725,37.11,0.3708339192799887
26,70410,0.254,7.65,0.39496855345911946,40.31,25.73,0.36362259578979256
27,62558,0.25830000000000003,5.35,0.7221742881794652,44.11000000000001,47.96000000000001,0.3349624716355385
28,50458,0.30115000000000003,1.2000000000000002,0.571994715984148,54.76000000000001,35.97500000000001,0.3068878470970069
29,78122,0.3016,5.2,0.8125000000000001,57.46000000000001,39.26,0.3286713286713287
30,71752,0.2453,4.866666666666667,0.5335294117647059,40.04333333333333,28.570000000000004,0.3629789530491096
31,64984,0.3012000000000001,1.8666666666666665,0.32111925383077944,57.30666666666667,31.55333333333333,0.3093668236525379
32,64300,0.2715,21.366666666666664,0.9007371007371008,37.77666666666667,31.81333333333333,0.38819331034899895
33,61404,0.28665,4.85,0.811333794056669,41.55750000000001,30.222500000000004,0.3586231884057971
35,67304,0.283275,3.775,0.4372801875732708,44.79,30.7925,0.3451236849587716
36,62947,0.3186666666666667,25.2,0.3342082239720036,57.87000000000001,34.11666666666667,0.3813181042405146
37,73209,0.1916,5.549999999999999,0.3945147679324895,40.325,26.525,0.30908728577122363
38,78629,0.2549,18.450000000000006,0.5326743547501374,39.585,36.65000000000001,0.3893563793495565
39,63704,0.239525,2.45,0.5423728813559322,40.783333333333346,31.04333333333333,0.34247410115783045
40,69737,0.29195000000000004,15.05,0.40478223740392827,53.38500000000001,44.08500000000001,0.336904061212478
41,62931,0.289575,12.3,0.4381851400730817,47.32250000000001,34.8075,0.3589117083801097
42,50165,0.3108500000000001,26.1,0.408272506082725,58.33,45.540000000000006,0.35185185185185186
43,50350,0.27940000000000004,2.2,0.5945945945945946,54.12000000000001,44.0,0.31985294117647056
44,67450,0.2469,21.45,0.7669712793733682,31.68,30.29,0.4097378277153558
46,67025,0.2957333333333333,34.46666666666667,0.468803176403857,42.97,32.95333333333333,0.402484175325451
47,62234,0.24976666666666664,0.2333333333333333,0.6467203682393556,44.53666666666666,37.18666666666667,0.3420472440944882
48,50506,0.33405,9.2,0.9754990925589836,51.25,43.28,0.3643570472562545
49,78813,0.2349,10.45,0.4655737704918033,40.775,26.735,0.34712198556592144
50,72546,0.1925,4.199999999999998,0.4,34.09,23.03,0.3088235294117647
51,69102,0.35100000000000003,9.1,0.9,50.7,49.53,0.3855421686746988
52,76249,0.2508333333333333,7.399999999999999,0.5166364186327889,43.64333333333334,35.46666666666667,0.3495526748219828
54,73113,0.234925,12.15,0.4598561151079137,43.075,38.465,0.3451173774135297
55,64468,0.34580000000000005,2.6,0.3703703703703704,55.12,41.08000000000001,0.34426229508196715
56,79365,0.29560000000000003,14.333333333333336,0.5304792926942764,53.74000000000001,41.51333333333333,0.35749293119698405
57,62907,0.3138,3.625,0.8257772020725388,41.0475,34.4525,0.3932679501150261
58,75125,0.25880000000000003,23.975,0.5517241379310345,44.1975,36.32,0.392149509344334
59,74465,0.27237500000000003,14.175,0.8398018166804294,41.9825,37.0975,0.3993797138225136
60,67893,0.3601,1.3,0.6363636363636364,51.87,48.1,0.3523809523809524
61,62244,0.2735,4.0,0.6811201445347786,53.34,43.86333333333334,0.3473053892215569
62,62802,0.20970000000000005,2.7,0.28,44.55,29.430000000000003,0.2845188284518828
63,72133,0.27105,6.35,0.439893143365984,45.64,25.865,0.35406698564593303
64,66928,0.2834,7.800000000000002,0.2558139534883721,56.42,50.18000000000001,0.291044776119403
65,64657,0.2695,5.5,0.5416666666666666,43.89,50.38,0.3894009216589862
66,64646,0.2685333333333333,2.1333333333333333,0.4260515603799186,50.28666666666667,33.13333333333333,0.2952227196007925
67,71432,0.1988,7.0,0.4725274725274725,31.57,24.01,0.365979381443299
68,62415,0.28400000000000003,7.025,0.6387343532684284,44.6,33.405,0.3511644462524153
69,50730,0.29150000000000004,9.9,0.3333333333333333,58.08,37.95,0.34375
70,64166,0.33965,10.4,0.5190033783783784,50.35000000000001,45.845,0.3718648773715872
71,67650,0.217,14.0,0.6116504854368932,33.39,27.58,0.3983050847457628
72,67598,0.1876,16.099999999999998,0.2481203007518797,35.62999999999999,23.8,0.3320158102766798
73,69950,0.2214,7.2,0.35294117647058826,48.06,28.08,0.30803571428571425
74,68345,0.2745,25.2,0.7623762376237623,40.5,38.88,0.3973941368078177
75,78168,0.3038,4.166666666666667,1.2210843373493978,45.30333333333334,40.693333333333335,0.38127508388709785
76,77532,0.323125,10.15,0.8015963511972635,46.93250000000001,35.790000000000006,0.3966666666666668
77,72456,0.1666,2.8,0.275,32.129999999999995,23.87,0.2822299651567944
78,76753,0.23466666666666666,9.6,0.21040825482279046,51.15333333333333,31.41666666666667,0.3011526048870447
79,65357,0.2117,3.8,0.41341463414634144,34.195,27.85,0.3090045346577413
80,65362,0.3848000000000001,3.9,0.5714285714285714,60.71000000000001,37.05,0.3723404255319149
81,69901,0.2061,8.1,0.5161290322580645,39.6,30.24,0.2982456140350877
82,67935,0.1799,18.2,0.3819444444444445,34.23,26.67,0.3455497382198953
83,62556,0.2181,4.3,0.3654946852003271,38.63,26.155,0.3362327106801655
