,PCODE_YEAR,타율,홈런,볼삼비,전체,2S후선구%,출루율
0,60558_2018,0.254,12.0,0.2608695652173913,48.2,33.4,0.30997304582210244
1,61102_2018,0.29600000000000004,19.0,0.35,50.1,31.6,0.3534482758620689
2,61186_2018,0.34,2.0,0.8125,46.9,36.7,0.4098765432098765
3,61208_2018,0.301,2.0,0.4318181818181818,48.4,29.9,0.3482758620689655
4,61353_2018,0.279,6.0,0.15625,51.0,34.8,0.31054131054131057
5,61404_2018,0.3,11.0,0.7714285714285715,41.3,33.3,0.3762886597938144
6,61700_2018,0.278,5.0,0.6440677966101694,42.6,36.8,0.3819444444444444
7,62234_2018,0.268,1.0,0.6744186046511628,48.3,37.2,0.3717472118959108
8,62332_2018,0.228,3.0,0.20689655172413796,43.2,36.9,0.2933333333333333
9,62356_2018,0.295,3.0,0.30337078651685395,39.6,35.4,0.3611940298507463
10,62404_2018,0.333,20.0,0.3909090909090909,48.3,34.5,0.3943396226415095
11,62415_2018,0.299,9.0,0.5656565656565656,46.7,34.7,0.3603744149765991
12,62556_2018,0.294,11.0,0.3473684210526316,46.6,33.2,0.3592436974789916
13,62700_2018,0.254,9.0,0.2153846153846154,56.4,31.7,0.3003875968992248
14,62797_2018,0.254,2.0,0.6875,41.9,36.3,0.3403361344537815
15,62864_2018,0.245,6.0,0.6190476190476191,38.6,37.9,0.3333333333333333
16,62884_2018,0.293,7.0,0.43859649122807015,51.8,34.9,0.3843137254901961
17,62907_2018,0.324,5.0,0.6274509803921569,41.3,34.0,0.3869565217391304
18,62931_2018,0.28300000000000003,11.0,0.35869565217391297,47.8,35.4,0.33698030634573306
19,62934_2018,0.26,13.0,0.453125,44.3,38.3,0.3202247191011236
20,62947_2018,0.318,23.0,0.33587786259541985,55.3,35.9,0.38461538461538464
21,63704_2018,0.313,8.0,0.5581395348837209,47.3,37.0,0.38341968911917096
22,63963_2018,0.28300000000000003,8.0,0.603448275862069,47.6,32.2,0.3556701030927835
23,64006_2018,0.259,4.0,0.3448275862068966,47.5,29.7,0.3053435114503817
24,64153_2018,0.263,22.0,0.2962962962962963,48.4,28.9,0.3030888030888031
25,64300_2018,0.28800000000000003,20.0,0.6666666666666666,42.6,35.7,0.3604852686308492
26,64346_2018,0.293,13.0,0.18487394957983194,54.2,28.4,0.328125
27,64717_2018,0.275,7.0,0.21818181818181814,51.8,30.8,0.31981981981981983
28,64717_2018,0.275,7.0,0.21818181818181814,51.8,30.8,0.31981981981981983
29,65357_2018,0.313,7.0,0.4897959183673469,40.1,33.8,0.3813559322033898
30,76802_2018,0.277,4.0,0.6904761904761905,45.9,35.6,0.3355263157894737
31,66606_2018,0.272,4.0,0.3448275862068966,52.0,19.1,0.3241590214067278
